经销商代码,经销商名称,区域,区域经理,服务总收入,零件总收入,工时总收入,其他收入合计,普通维修产值小计,普通维修工时产值,普通维修材料产值,事故维修产值小计,事故维修工时产值,事故维修材料产值,首保产值小计,首保工时产值,首保材料产值,保养产值小计,保养工时产值,保养材料产值,索赔类型产值小计,索赔类型工时产值,索赔类型材料产值,精品销售产值,备件销售产值,延保产值小计,延保工时产值,延保材料产值,其它产值小计,其他工时产值,其他材料产值,索赔结算产值,索赔结算工时产值,索赔结算材料产值,客户自费产值,客户自费工时产值,客户自费材料产值,厂家付费产值,厂家付费工时产值,厂家付费材料产值,经销商付费产值,经销商付费工时产值,经销商付费材料产值,保险公司付费产值,保险公司付费工时产值,保险公司付费材料产值,保养套餐产值小计,保养套餐工时产值,保养套餐材料产值,机修产值小计,机修工时产值,机修材料产值,钣金产值小计,钣金工时产值,钣金材料产值,喷漆产值小计,喷漆工时产值,喷漆材料产值,其他产值小计,其他工时产值.1,其他材料产值.1,CX-5产值小计,CX-5工时产值,CX-5材料产值,Axela产值小计,Axela工时产值,Axela材料产值,星骋产值小计,星骋工时产值,星骋材料产值,马自达3经典款产值小计,马自达3经典款工时产值,马自达3经典款材料产值,马自达2产值小计,马自达2工时产值,马自达2材料产值,维修工单数,维修项目数,普通维修台次,事故车台次,首保台次,保养台次,索赔台次,备件销售台次,精品销售台次,延保索赔台次,其它台次,保养套餐台次,索赔结算台次,客户自费台次,厂家付费台次,经销商付费台次,保险公司付费台次,机修台次,钣金台次,喷漆台次,其他台次,CX-5台次,Axela台次,星骋台次,马自达3经典款台次,马自达2台次,零件总成本,总毛利,零件总毛利,零件毛利率,普通维修毛利,事故维修毛利,首保毛利,保养毛利,索赔毛利,备件销售毛利,精品销售毛利,延保毛利,其它毛利,自费毛利,索赔结算毛利,厂家付费毛利,经销商付费毛利,保险公司付费毛利,CX-5毛利,Axela毛利,星骋毛利,马自达3经典款毛利,马自达2毛利,管理内客户数,流失客户数,久未回厂客户数,出保客户数,累计销售用户数,销售用户数,忠诚用户数,AA类客户数,BB类客户数,CC类客户数,DD类客户数,EE类客户数,FF类客户数,保养套餐销售数量,延保套餐销售数量,本月出库成本,本月入库,月末库存,月初库存,本月库存品种数,本月出库金额,服务顾问数量,售后人员数量,人均产值,保险信息录入数,新保数,续保数,本店投保数,预约成功数,预约实现数,定期保养提醒数,定期保养提醒率,定期保养提醒成功数,定期保养提醒成功率,售后回访电话数,3日回访率,满意的客户数量,3日回访满意率
M18003,重庆金团汽车销售服务有限公司,西区,孔立刚,551460.03,386630.39,164829.64,0.0,32758.47,14869.5,17888.97,433130.17,115268.0,317862.17,6471.17,1672.4,4798.77,73748.11,31202.7,42545.41,5352.11,1817.04,3535.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11823.28,3489.44,8333.84,330646.62,102290.2,228356.42,0.0,0.0,0.0,0.0,0.0,0.0,208990.13,59050.0,149940.13,56833.17,22469.0,34364.17,113483.46,47623.64,65859.82,406433.37,115719.0,290714.37,25164.18,1487.0,23677.18,0.0,0.0,0.0,146839.07,46474.08,100364.99,92707.39,32899.2,59808.19,0.0,0.0,0.0,0.0,0.0,0.0,126.56,126.56,0.0,255.0,315.0,83.0,79.0,15.0,129.0,9.0,0.0,0.0,0.0,0.0,83.0,24.0,253.0,0.0,0.0,38.0,214.0,77.0,3.0,0.0,111.0,43.0,0.0,0.0,1.0,288180.9184,263279.1116,98449.4716,0.2546,13416.2663,230834.5033,4172.7903,36683.3743,3073.9842,0.0,0.0,0.0,0.0,167761.9997,7246.7745,0.0,0.0,113172.1442,77500.2806,42771.7034,0.0,0.0,0.0,13179.0,9092.0,1375.0,11883.0,6585.0,3570.0,3292.0,540.0,385.0,2245.0,255.0,789.0,8814.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,83.0,6644.0967,188.0,2.0,0.0,0.0,0.0,0.0,402.0,0.0,36.0,0.0896,557.0,0.0,0.0,0.0
M23002,重庆瀚达汽车销售服务有限公司,西区,孔立刚,144521.26,91001.84,53519.42,0.0,32389.55,10352.2,22037.35,73162.77,32993.0,40169.77,2180.3,542.4,1637.9,31808.62,8338.2,23470.42,4980.04,1293.62,3686.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7160.34,1836.02,5324.32,65300.19,20546.4,44753.79,0.0,0.0,0.0,757.98,4.0,753.98,71302.77,31133.0,40169.77,14292.51,3075.0,11217.51,49951.78,14596.22,35355.56,86229.8,37573.2,48656.6,1050.0,1050.0,0.0,300.0,300.0,0.0,18184.53,5015.54,13168.99,27610.38,17442.9,10167.48,0.0,0.0,0.0,0.0,0.0,0.0,970.07,6.0,964.07,98.0,198.0,102.0,17.0,5.0,62.0,12.0,0.0,0.0,0.0,0.0,25.0,17.0,137.0,0.0,28.0,16.0,103.0,25.0,1.0,1.0,55.0,11.0,0.0,0.0,1.0,68399.079,76122.181,22602.761,0.2484,16760.1131,30874.3798,1390.9933,16167.9731,3205.6197,0.0,0.0,0.0,0.0,32492.9121,4596.613,0.0,435.1741,30874.3798,9475.5817,8064.9499,0.0,0.0,833.149,6809.0,4922.0,627.0,5576.0,1106.0,616.0,1805.0,255.0,197.0,984.0,83.0,459.0,4647.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,6283.533,45.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,10.0,0.0625,347.0,0.0,0.0,0.0
A28856,重庆银马汽车销售服务有限公司,西区,孔立刚,244472.98,139340.17,105132.81,0.0,106977.53,55897.64,51079.89,12288.57,2300.0,9988.57,1778.96,497.2,1281.76,110232.94,42214.48,68018.46,13009.98,4223.49,8786.49,78.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,14788.94,4720.69,10068.25,217395.47,98112.12,119283.35,0.0,0.0,0.0,0.0,0.0,0.0,12288.57,2300.0,9988.57,81075.08,28260.0,52815.08,224530.7,101806.81,122723.89,16246.34,2726.0,13520.34,0.0,0.0,0.0,600.0,600.0,0.0,89416.3,36707.3,52709.0,51282.06,21194.96,30087.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,523.0,318.0,2.0,5.0,174.0,22.0,1.0,1.0,0.0,0.0,126.0,27.0,494.0,0.0,0.0,2.0,385.0,4.0,0.0,1.0,165.0,99.0,0.0,0.0,0.0,90940.9059,153532.0741,48399.2641,0.3473,36986.3601,7174.6751,1114.5605,37922.1754,7640.4385,75.0,27.6963,0.0,0.0,75011.2318,8754.999,0.0,0.0,7174.6751,34860.9511,20224.5784,0.0,0.0,0.0,20103.0,14236.0,2142.0,17615.0,13300.0,6019.0,4892.0,694.0,761.0,3126.0,413.0,1446.0,12963.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,71.0,3443.2814,201.0,6.0,107.0,0.0,0.0,0.0,523.0,0.0,44.0,0.0841,712.0,0.9986,711.0,1.0
M18571,重庆万事新汽车销售服务有限公司,西区,孔立刚,426157.81,318375.89,107781.92,0.0,48097.09,15262.0,32835.09,261123.75,55700.0,205423.75,23091.22,6454.56,16636.66,88924.55,28928.0,59996.55,4921.2,1437.36,3483.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28012.42,7891.92,20120.5,137021.64,44190.0,92831.64,0.0,0.0,0.0,0.0,0.0,0.0,261123.75,55700.0,205423.75,54989.47,17780.0,37209.47,160407.1,50853.92,109553.18,262530.32,56128.0,206402.32,800.0,800.0,0.0,0.0,0.0,0.0,66905.11,15241.36,51663.75,63132.81,13063.0,50069.81,0.0,0.0,0.0,0.0,0.0,0.0,126.56,126.56,0.0,270.0,412.0,155.0,37.0,57.0,150.0,13.0,0.0,0.0,0.0,0.0,87.0,70.0,305.0,0.0,0.0,37.0,295.0,39.0,1.0,0.0,71.0,22.0,0.0,0.0,1.0,225612.875,200544.935,92763.015,0.2914,23444.7545,144194.7615,14453.9316,40489.9648,3029.4626,0.0,0.0,0.0,0.0,63934.7193,17483.3942,0.0,0.0,144194.7615,36465.7563,35854.0213,0.0,0.0,0.0,25181.0,18110.0,2249.0,20661.0,14048.0,4167.0,3832.0,493.0,672.0,3410.0,242.0,1472.0,17131.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,17046.3124,80.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,24.0,0.0435,622.0,0.0,0.0,0.0
M18912,西藏鼎恒实业有限公司,西区,孔立刚,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1846.0,1620.0,116.0,1621.0,199.0,107.0,127.0,1.0,81.0,70.0,53.0,84.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
