经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
A17995,哈尔滨龙洋汽车销售有限公司,北区,北区,,,195740.02999999982,21611.489999999998,217351.51999999981,,217351.51999999981,,
M18395,浙江孚达汽车有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A26615,甘肃海丰汽车销售有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
A26096,上饶市福铃达汽车有限公司,南区,南二区,,,52017.740000000005,8350.94,60368.68000000001,,60368.68000000001,,
M18018,诸暨国赛汽车有限公司,东区,东区,,,31748.34,6565.780000000001,38314.12,,38314.12,,
M18610,广西马之悦汽车销售服务有限公司,南区,南一区,,,140437.58,26425.2,166862.78,,166862.78,,
A14843,南通博泰隆汽车贸易有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18361,汕头市通利华月浦汽车服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18319,慈溪市新亚汽车销售服务有限公司,东区,东区,,,65043.44000000002,7456.45,72499.89000000001,,72499.89000000001,,
A14981,江门市振宇汽车销售服务有限公司,南区,南一区,,,180419.51999999987,23681.76,204101.27999999988,,204101.27999999988,,
M18519,宁波合辰汽车销售服务有限公司,东区,东区,,,156850.64000000004,37106.98,193957.62000000005,,193957.62000000005,,
M18047,新疆汇众天祥汽车贸易有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18527,南京通孚源汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18235,湖南长驰长马汽车销售服务有限公司,南区,南二区,,,145977.86999999997,3289.38,149267.24999999997,,149267.24999999997,,
M18138,江西金乐玛汽车销售服务有限公司,南区,南二区,,,47900.60000000002,0.0,47900.60000000002,,47900.60000000002,,
A13338,东莞市通益汽车销售服务有限公司,南区,南一区,,,185836.89999999976,24559.44,210396.33999999976,,210396.33999999976,,
M18569,宁夏自立升汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18036,宝鸡广行汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18243,郴州跃马汽车销售有限公司,南区,南二区,,,69458.18000000002,1043.82,70502.00000000003,,70502.00000000003,,
A18056,赤峰新雅迪汽车销售服务有限公司,北区,北区,,,14376.04,13212.6,27588.64,,27588.64,,
M18313,合肥市贺悦汽车销售服务有限公司,中区,中区,,,123905.93000000001,0.0,123905.93000000001,,123905.93000000001,,
A26095,太仓华洋汽车销售服务有限公司,东区,东区,,,42705.77000000002,0.0,42705.77000000002,,42705.77000000002,,
A26218,乐山市联合东升汽车销售服务有限公司,西区,西一区,,,39688.61,20878.68,60567.29,,60567.29,,
M18290,临沂骏骐汽车贸易有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18037,常熟豪骏汽车销售服务有限公司,东区,东区,,,78963.34999999999,21978.42,100941.76999999999,,100941.76999999999,,
M18242,邵阳驭马汽车销售服务有限公司,南区,南二区,,,80946.47999999995,13361.460000000001,94307.93999999996,,94307.93999999996,,
A26695,南通文峰恒丰汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18165,保定市振昊汽车贸易有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
A22535,江阴市吉威汽车有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18523,苏州国亚达汽车服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
