经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18915,临沂长驰汽车销售服务有限公司,中区,中区,,,28950.700000000008,11004.900000000001,39955.600000000006,,39955.600000000006,,
M18287,青州长兴汽车贸易有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18225,遂宁广盛众达汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18960,泉州道明汽车销售服务有限公司,南区,南二区,,,40935.36000000001,24652.06,65587.42000000001,,65587.42000000001,,
M18930,哈尔滨骏骥,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18961,山西祺达订单中心,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18937,天津华夏,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18925,常州神马,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18939,连云港佳成,东区,东区,,,77318.45000000007,11327.46,88645.91000000006,,88645.91000000006,,
M18957,宁波鑫驿订单中心,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18932,三明长隆,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18956,广州铧城订单中心,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18924,广州东富,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18955,广州悦马,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18941,湛江万马订单中心,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18966,宝鸡福瑞腾汽车销售服务有限公司,西区,,,,20769.64,0.0,20769.64,,20769.64,,
M18965,泸州长马一鸣汽车贸易有限公司,西区,,,,6184.56,6123.3,12307.86,,12307.86,,
M18962,梅州市华璟新能源汽车有限公司,西区,,,,28228.56000000002,0.0,28228.56000000002,,28228.56000000002,,
M18943,珠海通华,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18942,三亚优之杰,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18953,湖南博马订单中心,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18945,汉中骏逸鑫逸,西区,西区,,,72775.37000000001,0.0,72775.37000000001,,72775.37000000001,,
M18934,榆林顺泓安,西区,西区,,,0.0,0.0,0.0,,0.0,,
M18976,茂名市百润新能源汽车销售服务有限公司,南区,南区,,,27882.600000000006,0.0,27882.600000000006,,27882.600000000006,,
M18969,商丘腾驭汽车销售服务有限公司,中区,中区,,,14026.51,1458.96,15485.470000000001,,15485.470000000001,,
M18971,濮阳市利镇汽车销售有限公司,中区,中区,,,3736.85,0.0,3736.85,,3736.85,,
M18972,聊城驭马汽车销售服务有限公司,中区,中区,,,30596.250000000004,2771.1,33367.350000000006,,33367.350000000006,,
M18981,扬州上辰汽车销售服务有限公司,东区,东区,,,74520.65,61594.02,136114.66999999998,,136114.66999999998,,
M18938,乌鲁木齐笑好明煦订单中心,西区,西区,,,0.0,0.0,0.0,,0.0,,
M18959,菏泽佳谊订单中心,中区,中区,,,37252.06999999999,16868.68,54120.74999999999,,54120.74999999999,,
