经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
A19795,衢州龙达汽车销售服务有限公司,东区,东区,陈秋刚,,287000.0,287000,331000.0,905000,905000,287000,287000,331000,
A13308,义乌市祥马汽车销售服务有限公司,东区,东区,陈秋刚,,541000.0,541000,625000.0,1707000,1707000,541300,541300,624400,
M18078,瑞安市深发汽车销售服务有限公司,东区,东区,陈秋刚,,414000.0,414000,478000.0,1306000,1306000,414100,414100,477800,
M18180,南京天辉汽车销售服务有限公司,东区,东区,钱曦,,318000.0,318000,366000.0,1002000,1002000,317800,317800,366400,
M18163,张家港全骏汽车销售服务有限公司,东区,东区,晏礼奎,,179000.0,179000,206000.0,564000,564000,178900,178900,206200,
M18537,上海路帅汽车销售有限公司,东区,东区,张晔,,512000.0,512000,591000.0,1615000,1615000,512100,512100,590800,
M18526,上海景和金沙汽车销售有限公司,东区,东区,张晔,,499000.0,499000,576000.0,1574000,1574000,499100,499100,575800,
M18037,常熟豪骏汽车销售服务有限公司,东区,东区,晏礼奎,,238000.0,238000,275000.0,751000,751000,238200,238200,274600,
A14837,无锡市东方运达汽车销售服务有限公司,东区,东区,晏礼奎,,514000.0,514000,594000.0,1622000,1622000,514300,514300,593400,
M18014,舟山凯桥汽车销售有限公司,东区,东区,李波,,376000.0,376000,434000.0,1186000,1186000,376100,376100,433800,
A19775,连云港报业汽车销售服务有限公司,东区,东区,钱曦,无,270000.0,270000,311000.0,851000,170200,54000,54000,62200,
M18520,嘉兴市禾通汽车销售服务有限公司,东区,东区,张晔,,544000.0,544000,627000.0,1715000,1715000,543800,543800,627400,
M18137,宿迁永泓汽车销售服务有限公司,东区,东区,钱曦,,159000.0,159000,183000.0,501000,501000,158900,158900,183200,
M18331,淮安市宏宇翔舜汽车销售服务有限公司,东区,东区,钱曦,,318000.0,318000,366000.0,1002000,1002000,317800,317800,366400,
M18393,浙江元通瑞达汽车有限公司,东区,东区,李波,有,478000.0,478000,551000.0,1507000,904200,286700,286700,330800,
M18220,上海苏源汽车销售服务有限公司,东区,东区,张晔,,369000.0,369000,426000.0,1164000,1164000,369100,369100,425800,
