经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
A30535,安徽泓德汽车销售服务有限公司,中区,中区,倪超,,258000.0,258000,298000.0,814000,814000,258100,258100,297800,
M18902,许昌吉运汽车销售服务有限公司,中区,中区,倪超,,191000.0,191000,220000.0,602000,602000,190900,190900,220200,
M18160,十堰海阜汽车销售服务有限公司,中区,中区,张哲,,250000.0,250000,288000.0,788000,788000,249900,249900,288200,
M18049,芜湖瑞马汽车销售服务有限公司,中区,中区,倪超,,302000.0,302000,348000.0,952000,952000,301900,301900,348200,
M18090,襄阳建银金马汽车销售有限公司,中区,中区,张哲,,248000.0,248000,286000.0,782000,782000,248000,248000,286000,
A27896,青岛安隆达汽车销售有限公司,中区,中区,李伟,,448000.0,448000,517000.0,1413000,1413000,448100,448100,516800,
M18190,河南小伙伴汽车销售有限公司,中区,中区,倪超,,529000.0,529000,611000.0,1669000,1669000,529200,529200,610600,
M18326,南阳兴业汽车销售服务有限公司,中区,中区,倪超,,156000.0,156000,180000.0,492000,492000,156000,156000,180000,
A29055,宜昌大宏汽车销售有限公司,中区,中区,张哲,,258000.0,258000,298000.0,814000,814000,258100,258100,297800,
M18128,济宁骁华汽车销售服务有限公司,中区,中区,李伟,,181000.0,181000,209000.0,571000,571000,181100,181100,208800,
M18889,安庆瑞呈汽车销售服务有限公司,中区,中区,倪超,,181000.0,181000,209000.0,571000,571000,181100,181100,208800,
M18252,枣庄爱马行汽车销售服务有限公司,中区,中区,李伟,无,137000.0,137000,158000.0,432000,86400,27400,27400,31600,
A13265,武汉龙泰元汽车销售服务有限公司,中区,中区,张哲,,357000.0,357000,412000.0,1126000,1126000,357100,357100,411800,
A22537,阜阳市广旭汽车销售服务有限公司,中区,中区,倪超,,184000.0,184000,212000.0,580000,580000,184000,184000,212000,
M18265,洛阳隆马汽车销售服务有限公司,中区,中区,倪超,,143000.0,143000,165000.0,451000,451000,143000,143000,165000,
M18286,日照市佰世达汽车销售服务有限公司,中区,中区,李伟,,56000.0,56000,65000.0,177000,177000,56200,56200,64600,
M18915,临沂长驰汽车销售服务有限公司,中区,中区,李伟,,115000.0,115000,132000.0,362000,362000,114800,114800,132400,
M18217,宣城瑞冠汽车销售有限公司,中区,中区,倪超,,157000.0,157000,182000.0,496000,496000,157300,157300,181400,
M18507,六安市泰源汽车销售服务有限公司,中区,中区,张哲,无,237000.0,237000,273000.0,747000,149400,47400,47400,54600,
A32364,淄博安华汽车销售服务有限公司,中区,中区,李伟,,218000.0,218000,251000.0,687000,687000,217900,217900,251200,
M18325,商丘市宝利鑫凯汽车销售服务有限公司,中区,中区,倪超,无,68000.0,68000,79000.0,215000,43000,13700,13700,15600,
M18313,合肥市贺悦汽车销售服务有限公司,中区,中区,倪超,,213000.0,213000,246000.0,672000,672000,213100,213100,245800,
M18617,武汉龙泰汽车销售服务有限公司,中区,中区,张哲,,473000.0,473000,546000.0,1492000,1492000,473100,283860,327480,有
