经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
M18889,安庆瑞呈汽车销售服务有限公司,安庆瑞呈,安徽省,安庆市,芜湖瑞马,正常,中区,李付敬,15739.140000000001,21719.76,,,,,,,,,,,133.0,100.0,,,,,,,,,,
A32801,辽宁旺达汽车销售服务有限公司,辽宁旺达,辽宁省,鞍山市,辽宁旺达,正常,北区,鲁金泽,33703.02,27013.2,,,,,,,,,,,130.0,106.0,,,,,,,,,,
M18960,泉州道明汽车销售服务有限公司,泉州道明,福建省,泉州市,,正常,南区,陈建民,35585.82,27385.68,,,,,,,,,,,194.0,141.0,,,,,,,,,,
M18341,株洲市华兴汽车销售服务有限公司,株洲市华兴,湖南省,株洲市,株洲华兴,正常,南区,李志杰,20125.32,6123.3,,,,,,,,,,,173.0,109.0,,,,,,,,,,
M18231,岳阳驭马汽车销售服务有限公司,岳阳驭马,湖南省,岳阳市,湖南长驰,正常,南区,李志杰,32159.010000000002,38553.84,,,,,,,,,,,189.0,158.0,,,,,,,,,,
M18243,郴州跃马汽车销售有限公司,郴州跃马,湖南省,郴州市,湖南长驰,正常,南区,李志杰,43711.11,13212.6,,,,,,,,,,,164.0,137.0,,,,,,,,,,
M18234,永州驭马汽车销售服务有限公司,永州驭马,湖南省,永州市,湖南长驰,正常,南区,李志杰,51711.24,2761.08,,,,,,,,,,,140.0,133.0,,,,,,,,,,
A19776,邢台蓝池跃龙汽车服务有限公司,邢台蓝池跃龙,河北省,邢台市,邢台蓝池,正常,北区,姜洙,52488.450000000004,15973.68,,,,,,,,,,,154.0,119.0,,,,,,,,,,
M18128,济宁骁华汽车销售服务有限公司,济宁骁华,山东省,济宁市,济宁骁华,正常,中区,李伟,51716.4,23597.88,,,,,,,,,,,153.0,131.0,,,,,,,,,,
M18297,邯郸德骏汽车销售有限公司,邯郸德骏,河北省,邯郸市,邯郸德骏,正常,北区,姜洙,72141.00000000001,9140.820000000002,,,,,,,,,,,138.0,132.0,,,,,,,,,,
M18095,内蒙古鸿达汽车销售服务有限公司,内蒙古鸿达,内蒙古自治区,呼和浩特市,内蒙古鸿达,正常,北区,姜洙,24416.22,22107.0,,,,,,,,,,,126.0,68.0,,,,,,,,,,
M18246,遵义乾坤君马汽车销售有限公司,遵义乾坤君马,贵州省,遵义市,遵义乾坤,正常,西区,卢冶金,12246.6,17782.44,,,,,,,,,,,77.0,98.0,,,,,,,,,,
A28858,清远市骏昇汽车销售服务有限公司,清远市骏昇,广东省,清远市,,正常,南区,王胜文,33568.71,15017.7,,,,,,,,,,,174.0,113.0,,,,,,,,,,
M18319,慈溪市新亚汽车销售服务有限公司,慈溪市新亚,浙江省,宁波市,慈溪新亚,正常,东区,陈秋刚,45756.17999999999,7325.7,,,,,,,,,,,126.0,97.0,,,,,,,,,,
M18070,泰兴市天利达汽车贸易有限公司,泰兴市天利达,江苏省,泰州市,天字集团,正常,东区,钱曦,47918.16000000001,34031.82000000001,,,,,,,,,,,122.0,139.0,,,,,,,,,,
M18898,南充创达丰汽车服务有限公司,南充创达丰,四川省,南充市,南充创达,正常,西区,陈莉,42562.92,28852.260000000002,,,,,,,,,,,127.0,146.0,,,,,,,,,,
M18935,福州龙驭汽车销售服务有限公司,福州龙驭,福建省,福州市,,正常,南区,陈建民,78644.88,28655.460000000003,,,,,,,,,,,233.0,168.0,,,,,,,,,,
M18195,青岛海昌汽车销售有限公司,青岛海昌,山东省,青岛市,青岛安隆达,正常,中区,李付敬,28639.98,19335.9,,,,,,,,,,,86.0,83.0,,,,,,,,,,
M18362,东莞市通华汽车销售服务有限公司,东莞市通华,广东省,东莞市,深圳通利华,正常,南区,张裕坤,23650.980000000003,32175.12,,,,,,,,,,,177.0,120.0,,,,,,,,,,
M18137,宿迁永泓汽车销售服务有限公司,宿迁永泓,江苏省,宿迁市,宿迁永泓,正常,东区,钱曦,19904.1,23597.88,,,,,,,,,,,96.0,111.0,,,,,,,,,,
M18902,许昌吉运汽车销售服务有限公司,许昌吉运,河南省,许昌市,许昌吉运,正常,中区,倪超,38103.630000000005,20872.32,,,,,,,,,,,176.0,123.0,,,,,,,,,,
M18326,南阳兴业汽车销售服务有限公司,南阳兴业,河南省,南阳市,,正常,中区,倪超,29133.18,32741.7,,,,,,,,,,,110.0,144.0,,,,,,,,,,
M18239,丽水旺昌汽车销售服务有限公司,丽水旺昌,浙江省,丽水市,,正常,东区,陈秋刚,47168.399999999994,31582.5,,,,,,,,,,,152.0,106.0,,,,,,,,,,
M18218,包头市鸿燕福达汽车销售服务有限公司,包头市鸿燕福,内蒙古自治区,包头市,内蒙古鸿达,正常,北区,姜洙,17145.24,23814.3,,,,,,,,,,,115.0,101.0,,,,,,,,,,
A26216,揭阳恒诚汽车贸易有限公司,揭阳恒诚,广东省,揭阳市,,正常,南区,张裕坤,24493.2,32528.1,,,,,,,,,,,195.0,121.0,,,,,,,,,,
A28381,潮州市德隆汽车贸易有限公司,潮州市德隆,广东省,潮州市,潮州德隆,正常,南区,张裕坤,31824.12,25200.54,,,,,,,,,,,199.0,130.0,,,,,,,,,,
M18232,株洲同达汽车销售服务有限公司,株洲同达,湖南省,株洲市,湖南长驰,正常,南区,李志杰,14428.74,13636.2,,,,,,,,,,,115.0,93.0,,,,,,,,,,
M18328,焦作双达汽车销售服务有限公司,焦作双达,河南省,焦作市,焦作双达,正常,中区,倪超,25467.24,21304.440000000002,,,,,,,,,,,143.0,101.0,,,,,,,,,,
M18915,临沂长驰汽车销售服务有限公司,临沂长驰,山东省,临沂市,湖南长驰,正常,中区,李伟,6123.3,0.0,,,,,,,,,,,118.0,102.0,,,,,,,,,,
M18230,九江景润汽车销售服务有限公司,九江景润,江西省,九江市,,正常,南区,王胜文,34084.92,26425.2,,,,,,,,,,,172.0,116.0,,,,,,,,,,
M18922,东莞市众强贸易有限公司,东莞众强,广东省,东莞市,东莞众强,正常,南区,张裕坤,8351.880000000001,0.0,,,,,,,,,,,75.0,73.0,,,,,,,,,,
M18247,北京东南得利卡汽车贸易有限公司,北京东南得利,北京市,北京市,北京东南得利卡,正常,北区,祁玮,30026.82,20483.579999999998,,,,,,,,,,,93.0,59.0,,,,,,,,,,
M18071,韶关市荣和通达汽车贸易有限公司,韶关市荣和通,广东省,韶关市,胡列杰,正常,南区,张裕坤,4141.62,31696.859999999997,,,,,,,,,,,88.0,70.0,,,,,,,,,,
M18911,伊宁市笑好泓源汽车服务有限公司,伊宁市笑好,新疆维吾尔自治区,伊犁哈萨克自治州,,正常,西区,蔡永生,0.0,8987.7,,,,,,,,,,,45.0,27.0,,,,,,,,,,
M18265,洛阳隆马汽车销售服务有限公司,洛阳隆马,河南省,洛阳市,洛阳隆马,正常,中区,倪超,46533.240000000005,5522.16,,,,,,,,,,,77.0,59.0,,,,,,,,,,
M18259,宜春驭盛汽车服务有限公司,宜春驭盛,江西省,宜春市,湖南长驰,正常,南区,王胜文,0.0,0.0,,,,,,,,,,,118.0,81.0,,,,,,,,,,
M18919,唐山丰玮汽车贸易有限公司,唐山丰玮,河北省,唐山市,唐山丰玮,正常,北区,祁玮,13627.14,6123.3,,,,,,,,,,,47.0,49.0,,,,,,,,,,
M18175,巴州四季秋林汽车销售有限公司,巴州四季秋林,新疆维吾尔自治区,巴音郭楞蒙古自治州,新疆广利,正常,西区,蔡永生,19526.100000000002,6691.5,,,,,,,,,,,56.0,42.0,,,,,,,,,,
M18897,沧州仓安汽车销售服务有限公司,沧州仓安汽车,河北省,沧州市,沧州仓安,正常,北区,鲁金泽,25942.5,15071.460000000001,,,,,,,,,,,84.0,66.0,,,,,,,,,,
M18255,孝感景帆汽车销售服务有限公司,孝感景帆,湖北省,孝感市,孝感景帆,正常,中区,张哲,6123.3,15161.34,,,,,,,,,,,38.0,52.0,,,,,,,,,,
M18958,六安市泰源汽车销售服务有限公司,六安市泰源,安徽省,六安市,合肥贺悦,正常,中区,李伟,6123.3,5958.900000000001,,,,,,,,,,,153.0,183.0,,,,,,,,,,
M18954,贵阳京正鸿汽车销售服务有限公司,贵阳京正鸿,贵州省,贵阳市,云南正集众,正常,西区,卢冶金,31263.0,22171.62,,,,,,,,,,,123.0,87.0,,,,,,,,,,
M18169,莆田龙益汽车销售服务有限公司,莆田龙益,福建省,莆田市,福州龙益,正常,南区,陈建民,13153.619999999999,16579.2,,,,,,,,,,,156.0,113.0,,,,,,,,,,
M18206,大连盛瑞行汽车有效公司,大连盛瑞行,辽宁省,大连市,大连盛瑞行,正常,北区,唐宏宇,39407.16,0.0,,,,,,,,,,,25.0,31.0,,,,,,,,,,
M18896,阿克苏笑好信恒汽车销售服务有限公司,阿克苏笑好,新疆维吾尔自治区,阿克苏地区,笑好集团,正常,西区,蔡永生,13163.939999999999,5958.900000000001,,,,,,,,,,,54.0,35.0,,,,,,,,,,
M18067,呼伦贝尔市恒润汽车贸易有限公司,呼伦贝尔恒润,内蒙古自治区,呼伦贝尔市,呼伦贝尔恒润,正常,北区,姜洙,12197.94,6123.3,,,,,,,,,,,35.0,38.0,,,,,,,,,,
M18222,承德浩驰汽车销售服务有限公司,承德浩驰,河北省,承德市,承德浩驰,正常,北区,鲁金泽,14215.14,6123.3,,,,,,,,,,,48.0,35.0,,,,,,,,,,
M18286,日照市佰世达汽车销售服务有限公司,日照市佰世达,山东省,日照市,日照佰世达,正常,中区,李付敬,33223.2,0.0,,,,,,,,,,,66.0,66.0,,,,,,,,,,
M23001,佳木斯嘉达汽车销售服务有限公司,佳木斯嘉达,黑龙江省,佳木斯市,佳木斯嘉达,正常,北区,邵传海,6123.3,15333.12,,,,,,,,,,,13.0,36.0,,,,,,,,,,
M18952,吉林市铭航汽车销售服务有限公司,吉林市铭航,吉林省,吉林市,吉林铭航,正常,北区,唐宏宇,6711.3,0.0,,,,,,,,,,,25.0,17.0,,,,,,,,,,
M18267,阜新鑫鑫汽车销售服务有限公司,阜新鑫鑫,辽宁省,阜新市,阜新鑫鑫,正常,北区,鲁金泽,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,
M18920,漳州凯鑫汽车贸易有限公司,漳州凯鑫,福建省,漳州市,漳州凯鑫,正常,南区,陈建民,6711.3,6123.3,,,,,,,,,,,35.0,20.0,,,,,,,,,,
M18939,连云港佳成汽车销售有限公司,连云港佳成,江苏省,连云港市,连云港佳成,正常,东区,钱曦,79946.31,13212.6,,,,,,,,,,,184.0,147.0,,,,,,,,,,
M18912,西藏鼎恒实业有限公司,西藏鼎恒实业,西藏自治区,拉萨市,西藏鼎恒,正常,西区,孔立刚,7089.3,2761.08,,,,,,,,,,,4.0,1.0,,,,,,,,,,
M18959,菏泽佳谊订单中心,菏泽佳谊订单中心,山东省,菏泽市,山东林豪,正常,中区,李伟,21756.3,6123.3,,,,,,,,,,,42.0,62.0,,,,,,,,,,
M18964,新乡市弘森汽车销售服务有限公司,新乡市弘森,河南省,新乡市,,正常,中区,倪超,20716.440000000002,23062.980000000003,,,,,,,,,,,156.0,110.0,,,,,,,,,,
M18945,汉中骏逸鑫逸汽车销售服务有限公司 ,汉中骏逸鑫逸,陕西省,汉中市,汉中骏逸鑫逸,正常,西区,李兴坤,0.0,15253.259999999998,,,,,,,,,,,170.0,49.0,,,,,,,,,,
M18083,镇江天佑汽车销售服务有限公司,镇江天佑,江苏省,镇江市,南京天和,正常,东区,钱曦,7887.3,0.0,,,,,,,,,,,155.0,107.0,,,,,,,,,,
M18966,宝鸡福瑞腾汽车销售服务有限公司,宝鸡福瑞腾,陕西省,宝鸡市,,正常,西区,李兴坤,0.0,21264.21,,,,,,,,,,,32.0,35.0,,,,,,,,,,
M18965,泸州长马一鸣汽车贸易有限公司,泸州长马,四川省,泸州市,,正常,西区,卢冶金,0.0,0.0,,,,,,,,,,,10.0,21.0,,,,,,,,,,
M18962,梅州市华璟新能源汽车有限公司,梅州华璟新能源,广东省,梅州市,,正常,南区,张裕坤,0.0,0.0,,,,,,,,,,,7.0,6.0,,,,,,,,,,
M18969,商丘腾驭汽车销售服务有限公司,商丘腾驭,河南省,商丘市,,正常,中区,倪超,0.0,13212.6,,,,,,,,,,,2.0,53.0,,,,,,,,,,
M18971,濮阳市利镇汽车销售有限公司,濮阳利镇,河南省,濮阳市,,正常,中区,倪超,0.0,9828.720000000001,,,,,,,,,,,0.0,11.0,,,,,,,,,,
M18976,茂名市百润新能源汽车销售服务有限公司,茂名市百润新能源,广东省,茂名市,,正常,南区,宋扬,0.0,8448.18,,,,,,,,,,,0.0,0.0,,,,,,,,,,
M18981,扬州上辰汽车销售服务有限公司,扬州上辰,江苏省,扬州市,,正常,东区,钱曦,,,,,,,,,,,,,,,,,,,,,,,,
A13313,宁波万事得汽车有限公司,宁波万事得,浙江省,宁波市,,正常,东区,李波,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,
M18167,北海瑞祥盛汽车销售服务有限公司,北海瑞祥盛,广西壮族自治区,北海市,,退网,南区,薛仲锋,60198.36,0.0,,,,,,,,,,,154.0,115.0,,,,,,,,,,
M18221,贵港万马汽车销售服务有限公司,贵港万马,广西壮族自治区,贵港市,,退网,南区,薛仲锋,67152.00000000001,17466.18,,,,,,,,,,,141.0,154.0,,,,,,,,,,
M18617,武汉龙泰汽车销售服务有限公司,武汉龙泰,湖北省,武汉市,,退网,中区,张哲,9860.4,11219.28,,,,,,,,,,,159.0,125.0,,,,,,,,,,
M18242,邵阳驭马汽车销售服务有限公司,邵阳驭马,湖北省,邵阳市,,退网,南区,李志杰,51177.060000000005,33750.9,,,,,,,,,,,214.0,183.0,,,,,,,,,,
A21357,泸州安马车业有限公司,泸州安马,四川省,泸州市,,退网,西区,卢冶金,22228.98,0.0,,,,,,,,,,,125.0,101.0,,,,,,,,,,
M18121,扬州天盛达汽车贸易有限公司,扬州天盛达,江苏省,扬州市,,退网,东区,钱曦,28352.280000000002,14178.6,,,,,,,,,,,280.0,180.0,,,,,,,,,,
M18382,哈尔滨乾丰汽车销售服务有限责任公司,哈尔滨乾丰,黑龙江省,哈尔滨市,,退网,北区,邵传海,2771.1,2771.1,,,,,,,,,,,135.0,58.0,,,,,,,,,,
M18217,宣城瑞冠汽车销售有限公司,宣城瑞冠,安徽省,宣城市,,退网,中区,李付敬,0.0,0.0,,,,,,,,,,,144.0,144.0,,,,,,,,,,
M18972,聊城驭马汽车销售服务有限公司,聊城驭马,山东省,聊城市,,退网,中区,李伟,6123.3,0.0,,,,,,,,,,,73.0,61.0,,,,,,,,,,
A22778,宜兴市苏源汽车销售服务有限公司,宜兴市苏源,江苏省,无锡市,,退网,东区,晏礼奎,26818.08,32870.28,,,,,,,,,,,142.0,105.0,,,,,,,,,,
M18233,泰安金马汽车销售服务有限公司,泰安金马,山东省,泰安市,,退网,中区,李伟,7325.7,0.0,,,,,,,,,,,119.0,105.0,,,,,,,,,,
M18179,廊坊市永昂汽车销售有限公司,廊坊市永昂,河北省,廊坊市,,退网,北区,邵传海,26161.620000000003,0.0,,,,,,,,,,,51.0,35.0,,,,,,,,,,
M18209,张家口耀祥汽车销售有限公司,张家口耀祥,河北省,张家口市,,退网,北区,鲁金泽,28809.239999999998,15198.66,,,,,,,,,,,80.0,78.0,,,,,,,,,,
A18056,赤峰新雅迪汽车销售服务有限公司,赤峰新雅迪,内蒙古自治区,赤峰市,赤峰新雅迪,退网,北区,姜洙,30945.840000000004,13048.2,,,,,,,,,,,111.0,60.0,,,,,,,,,,
M18075,苏州恒昌汽车销售有限公司,苏州恒昌,江苏省,苏州市,瀚龙集团,退网,东区,晏礼奎,43533.78,105735.23999999999,,,,,,,,,,,597.0,1.0,,,,,,,,,,
A19795,衢州龙达汽车销售服务有限公司,衢州龙达,浙江省,衢州市,,退网,东区,陈秋刚,82217.46,0.0,,,,,,,,,,,204.0,153.0,,,,,,,,,,
